Major fishing nations agree Arctic moratorium,http://www.bbc.com/news/world-42205184
Climate change: US report at odds with some in Trump team,http://www.bbc.com/news/world-us-canada-41868878
Cod and haddock 'may vanish' from Scotland's west coast,http://www.bbc.com/news/uk-scotland-highlands-islands-41816878
"Global warming sage pens novel of Vermont, �resistance�",https://www.washingtonpost.com/entertainment/global-warming-sage-pens-novel-of-vermont-resistance/2017/11/19/bede602e-cd4f-11e7-a87b-47f14b73162a_story.html
"The Energy 202: Trump expected to sign bill calling climate change a ""direct threat."" Really.",https://www.washingtonpost.com/news/powerpost/paloma/the-energy-202/2017/11/28/the-energy-202-trump-expected-to-sign-defense-bill-calling-climate-change-a-direct-threat-really/5a1c3d0b30fb0469e883f85f/
"Sea life beneath Antarctic ice shelf is changing, and warming may be why",https://www.washingtonpost.com/national/health-science/sea-life-beneath-antarctic-ice-shelf-is-changing-and-warming-may-be-why/2017/11/24/035c4866-cee4-11e7-9d3a-bcbe2af58c3a_story.html
"After ditching Paris, Trump�s team has another big international climate decision to make",https://www.washingtonpost.com/news/energy-environment/wp/2017/11/22/after-ditching-paris-trumps-team-has-another-big-international-climate-decision-to-make/
Satellite images show extent of air pollution worldwide,https://www.washingtonpost.com/world/asia_pacific/satellite-images-show-extent-of-air-pollution-worldwide/2017/12/01/10178cba-d695-11e7-9ad9-ca0619edfa05_story.html
Warming to make thunderstorms larger and more frequent,https://www.washingtonpost.com/politics/warming-to-make-thunderstorms-larger-and-more-frequent/2017/11/20/6f489df6-ce60-11e7-a87b-47f14b73162a_story.html
"Far-fetched fixes for climate change, from solar shields to air-scrubbing",http://www.cnn.com/2017/11/29/world/climate-change-geoengineering/index.html
Australia's Great Barrier Reef receives fertility treatment ,http://www.cnn.com/2017/11/27/asia/australia-great-barrier-reef-coral/index.html
"'Planet is doomed' unless ocean health improves, says yachtswoman",http://www.cnn.com/2017/11/23/sport/volvo-ocean-race-dee-caffari-plastics-ocean-health/index.html
Trump environmental pick pressed at Senate hearing for comparing belief in climate change to paganism,http://www.cnn.com/2017/11/09/politics/kfile-khw-senate-hearing/index.html
Let's stop debating climate change and start combating it,http://www.cnn.com/2017/11/07/opinions/climate-report-opinion-mann/index.html
