Russia country profile,http://www.bbc.com/news/world-europe-17839672
Trump-Russia: Flynn's dealings were 'lawful',http://www.bbc.com/news/world-us-canada-42209758
Trump-Russia inquiry: US leader says 'no collusion',http://www.bbc.com/news/av/world-us-canada-42210175/trump-russia-inquiry-us-leader-says-no-collusion
Michael Flynn: What next for Trump-Russia investigation?,http://www.bbc.com/news/av/world-us-canada-42161103/michael-flynn-what-next-for-trump-russia-investigation
Russian FM: Haley�s North Korea statement �bloodthirsty�,https://www.washingtonpost.com/world/europe/russian-fm-haleys-north-korea-statement-bloodthirsty/2017/12/01/f6b61b02-d6de-11e7-9ad9-ca0619edfa05_story.html
"Sweeping aside Russia probe, Trump says �we�re unbeatable�",https://www.washingtonpost.com/national/sweeping-aside-russia-probe-trump-says-were-unbeatable/2017/12/02/c1ea469e-d799-11e7-9ad9-ca0619edfa05_story.html
Top FBI official assigned to Mueller�s Russia probe said to have been removed after sending anti-Trump texts,https://www.washingtonpost.com/world/national-security/two-senior-fbi-officials-on-clinton-trump-probes-exchanged-politically-charged-texts-disparaging-trump/2017/12/02/9846421c-d707-11e7-a986-d0a9770d9a3e_story.html
"Trump, reacting to Flynn guilty plea, says there�s been �absolutely no collusion� with Russia",https://www.washingtonpost.com/politics/trump-reacting-to-flynn-guilty-plea-says-theres-been-absolutely-no-collusion-with-russia/2017/12/02/9ada7768-d76c-11e7-9ad9-ca0619edfa05_story.html
Key events in Michael Flynn�s interactions with Russia,https://www.washingtonpost.com/politics/federal_government/key-events-in-michael-flynns-interactions-with-russia/2017/12/01/feef4412-d6f5-11e7-9ad9-ca0619edfa05_story.html
Is Russia covering up a nuclear accident?,https://www.washingtonpost.com/opinions/is-russia-covering-up-a-nuclear-accident/2017/12/01/0e75ac86-cfcc-11e7-a1a3-0d1e45a6de3d_story.html
Russia investigation zeroes in on Trump inner circle,http://www.cnn.com/2017/12/01/politics/russia-trump-white-house/index.html
UK agencies warned off Russian anti-virus software,http://www.cnn.com/2017/12/02/europe/uk-russia-anti-virus-software-intl/index.html
Two Russian lawmakers dismiss Michael Flynn's guilty plea,http://www.cnn.com/2017/12/02/politics/russia-lawmakers-dismiss-flynn-plea-intl/index.html
